Word,Definition,Example Sentence
Abate,"v. to become less active, less intense, or less in amount","As I began my speech, my feelings of nervousness quickly abated."
Abstract,adj. existing purely in the mind; not representing actual reality,Julie had trouble understanding the appeal of the abstract painting.
Abysmal,adj. extremely bad,I got an abysmal grade on my research paper!
Accordingly,adv. in accordance with,All students must behave accordingly.
Acquisition,n. the act of gaining a skill or possession of something,Language acquisition is easier for kids than it is for adults.
Adapt,v. to make suit a new purpose,The US has adapted many foreign foods to better suit the tastes of Americans.
Adept,adj. having knowledge or skill (usu. in a particular area),"Beth loves playing the piano, but she s especially adept at the violin."
Adequate,adj. having sufficient qualifications to meet a specific task or purpose,"Though his resume was adequate, the company doubted whether he d be a good fit."
Advent,n. the arrival or creation of something (usu. historic),The world has never been the same since the advent of the light bulb.
Adversarial,adj. relating to hostile opposition,An adversarial attitude will make you many enemies in life.
Advocate,n. someone who promotes or defends something,I am an advocate for free higher education.
Aesthetic,adj. relating to beauty or refined taste,The aesthetic decorations at the wedding reception made you feel as if you were a character in a fairy tale.
Afford,v. to be able to buy,He s saving money so he can afford to buy a new car.
Agitate,v. to promote something (usu. a cause),They re agitating for better health care.
Allow,v. to permit or consent to,US law allows citizens to speak freely.
Allude,v. to make a secretive mention of something,She alluded to the problem at hand but didn t say anything more about it.
Altercation,n. a noisy argument or confrontation,Greg got into an altercation with a stranger at the bar.
Ambiguous,adj. unclear or vague in meaning,Her ambiguous statement made me question whether she could be trusted.
Ambitious,adj. having a powerful desire for success or achievement,"Penny is so ambitious, she wants to be president someday."
Ambivalence,n. the state of being uncertain or stuck between two or more options,His ambivalence prevented him from immediately signing the contract.
Analogous,adj. similar but not identical,Green onions are considered analogous to spring onions.
Annihilate,v. to destroy or cause devastating destruction,The dictator sent orders to annihilate the group of rebels.
Anomaly,n. something different from the norm,This result is an anomaly and very rarely happens.
Anticipate,v. assume to be likely to happen,The party was just as fun as I had anticipated it would be.
Antipathy,n. a strong feeling of dislike,Her antipathy toward the professor was obvious: she rolled her eyes whenever he entered the classroom.
Apex,n. the highest point of something,The spring play was the apex of our school year.
Apprehension,n. fearful expectation of something,Her apprehension to leave her house resulted in her missing the train.
Articulate,v. to clearly express in words,She articulated her opinion on the price of the house.
Artificial,adj. something made; not occurring naturally,Many candies use artificial flavors to make them taste fruity.
Assertion,n. a strong declaration,His assertion that sharks are mammals made everyone laugh.
Austere,adj. extremely plain,"He lived in a small, austere cabin in the middle of the woods."
Authenticity,n. the quality of being real and true instead of fake and contrived,The police officer doubted the authenticity of the suspect s story.
Avenue,n. an intangible path or approach to something,The company has decided to pursue other avenues.
Avid,adj. actively interested in or enthusiastic about something,Gerald is an avid soccer fan.
Basic,adj. relating to the foundation or basis of something,You have to start with basic Russian before you can move on to the advanced level.
Bear,v. to have as a characteristic,She bears a strong resemblance to your mother.
Benevolent,"adj. kind, generous",Many cultures believe in benevolent spirits.
Bias,n. a preconception that prevents objectivity,It s important to avoid bias when investigating a crime.
Bittersweet,adj. tinged with a feeling of sadness,The ending of the romance movie was bittersweet.
Bolster,"v. to support, strengthen, or fortify","If we work together, we should be able to lift and then bolster the couch."
Boost,n. an increase or growth,The boost in profits was a welcome change.
